path,bytes,sha256
.gitignore,3033,c3243b877f31137785fe8f6a7be0c36c17a3753fb6132b528e21af023d409b29
AUDIT_CLAIMS.csv,18428,af14be919459a398e64d77a1eee32c63fe289aba4fb1cd08410e83e09ba4be47
AUDIT_METHOD_DIFFERENCES.md,7204,7bbcb94209ba3f27f6c1891b6e6e582a08bc5540f98fb4be0af936474ac001e4
AUDIT_NUMERIC_REPRODUCTION.csv,1210580,a2ef0b29071d54a3983fd97ebe26ee383f09d468fcad0f928d3e898f10cb3eb8
AUDIT_REFERENCES.csv,7821,4d66f229e9376461c2893d2dd2072973784ed9082f3000de15406d74c35261d4
FREEZE_MANIFEST.md,10662,b63fb1e52b3cdd66adaa7fa22b388f28082bbbca6534be6fb3e8c6d402c2ca22
PAPER_METHOD_AUDIT.md,14135,606a9cb86d4c1667c7658b72e0d6040c2397f1d4d981cae2253b7b4f61a4ed4a
QUERY_SELECTION.md,7043,0f88b4b9792c26a2cb9f2bf2fcea8a88fe6ff47bb8fd4a13e3871bfbcc9ad7e8
README.md,10384,400624d19089c913d2a8c0eead7660313156cb9462c44067faa1dd47c7f40118
STAGE1_50Q_REPORT.md,30747,2d1c9830471c70ee7d43070373f8feddc2d4a8fee7d568a389dea024383a2f25
STAGE1_REPORT.md,30044,727200670d0ef9a6160f30a8d0cbe870214138fad9b9083a9f4a213b9ab3da78
THIRD_PARTY_AUDIT_REPORT.md,47262,383d2d43f6a6b4ab1d8d294e1b42f3ea475ab105dd61384d7ac0da4cac2f951f
audit_evidence/README.md,3767,a4c8c025f81a91cf2056b27461eb93edb0da7a5724c917bfe64cb0d27fd39585
audit_evidence/abstract_stratified.csv,923,52b200851c5ae639ac3afdc09e7c405b39a1d1af55ab22bf41f270d4cfda4772
audit_evidence/audit_summary.json,3136,221385a753026604418ef638e8b6e40bc20647c4eed1280dad8c2bc26fbe2339
audit_evidence/bm25_sensitivity.csv,22323,6c22c7ffd603abae1a700c0d55c90d9bf68df35d2549b1be8f9342241f65d6e5
audit_evidence/checksums.csv,12206,21ff36fb07df9e2cb13a05be1283187e876f1108aa776f05e48aa8bc39dd00c4
audit_evidence/composition_independent.csv,32010,49ec09964edb74d339831425bd7e4ad99f4e8a3e6f684f611efe56633fd54730
audit_evidence/coverage_independent.csv,39357,84d342f6b8b24f8094bf4be895ea1adcc20105b9cfd13b0fb398a297c6e385a0
audit_evidence/delivery_validation.json,1249,77268bdf52bed963812cceef8a940aa35f32f19bf1d70bcaf3e893c4bf9dd4c4
audit_evidence/dense_audit.json,543,5742384bca4667c6e3a88538923d8da2f409852e58a09d2d89690723b25bf4b5
audit_evidence/direct_candidate_sensitivity.csv,35832,663f9ebf8d28ad6b8e154240cec172882bdfeafba9672216e662aea35d533b9b
audit_evidence/extra_audit.json,3694,9662e30a7d6e765ab3ba06b3b3e0cc0eb134c6cc6e625787f53dfa920a0d0573
audit_evidence/hole_summary.csv,2106,8a5579b6a93fb0ef021f5db60c4c365c4ce168605c7c1bc476aa7ce9dcf7f5f9
audit_evidence/independent_bm25.py,4371,c17bae891420d8cb577c087942ccf88dd720ba3e20cb479ba258a57e0db8b7cd
audit_evidence/independent_dense.py,3635,4c01de6e6f137c5f8de9e6f3d850c3aa539caa4ceee7c0c1de0e5bcfc2c361e6
audit_evidence/independent_extra.py,5072,9269b892d2a0a7c1c0db4c602c48b02dca09fd9909de878657fcf48c10e9670e
audit_evidence/independent_numeric.py,15221,c2c2570cbafb1d871ffc8f4ba04be68cf8387067ceb37256d583778742254664
audit_evidence/ir_independent.csv,8906,b63c8b0ba7db78d29b6b133d13264cec5d523b1c93b38f436d710d5f65db1b5c
audit_evidence/nist_comparison.json,3500,c21a0d1c11b6d0d6d48c84b11cde57abe8fee36082e074341723bd0070175142
audit_evidence/nist_qrels_complete.txt,1142244,84a374f40a893250a37948c8d60d5e32916e1d60a53bc44d09e32043b4d37e9e
audit_evidence/nonempty_abstract_reranked.csv,6827,83bf30dda47121c131e604a9afb0c6e602cc6b709fccd1fea267031283d4bc4e
audit_evidence/overlap_independent.csv,32653,8c1eb1fff502689acea88b01f9ba01992ee62a639b64a9982f6dcf8ba8ad8862
audit_evidence/scorer_audit.json,541,2967cc55d5718e01d6ca97b99045f0c304e1f56da9c641d5ef99215594173b44
audit_evidence/sources.json,6112,82cf31a9ca33475fe63d4bad54b4f7f4b9bcf47b2b9cfe99673bfe77fd253ffa
audit_evidence/strata_independent.csv,23747,d1322dc7254afaa063bad8859fdc26cf2b2330187e1b2843875097636c51ead6
cache/doc_emb_mpnet.meta.json,172,8b45fedd4f93af9a630b860f130f69230fc8b93d752b84d08fcd1cb00d0301fd
cache/doc_ids.npy,1885526,e6a07ab61b0244e1ab8fcc48480a864f3d286d6ba2a150bb21e8eee089f984dc
cache/runs/bm25.npz,435048,81c345611cc9fbd0900233dfa8e2423ab09273a814dd241befcc59b1c4d61956
cache/runs/direct.npz,492169,53c92a03919eed23361f2be1925603dfb23adf51861ef7658985a1888bc8d049
cache/runs/direct_minmax.npz,492977,47c96a89fa55e1095804cb7926dd68df03d8fdf649c4a90a6d070aa0947a0b63
cache/runs/direct_mmr.npz,34928,443a98480f59e4b832a6b63fb30cd27c904011a648601245a23831f755c77567
cache/runs/qryexp.meta.json,575,e80dab1ed56e4cdb5e06b2548464c2c044c4a262546aa1ff2356b972408e5036
cache/runs/qryexp.npz,48785,ecf78b2c47e9584b716966a87b63c21c8ff43851d7fe00998adae2b4b95a2754
cache/runs/random.npz,144053,75617356e70a7cdb8e2c76253cfb74b39eeeb959f85b32895d6b9376a6f1b011
cache/runs/retrieval_random.npz,50730,ea92a0744d6a0d66beadc59f8a4c1f315f46c9cb778edf9cc01b74f8d65f93a8
cache/runs/sbert.npz,298479,6c9b82e055867b979c78144284f29e57b0184872415b34594d2663f8fc37409f
config/FREEZE_PROVENANCE.txt,2250,cd2c8350c4aaf275b12a7b63b28fdf7148759a555cc59d225153e543089bf477
config/queries_stage1.csv,2139,d4870a26f34c0dedafeb22b8568d883a4febe5e018b2b621cb0e832eb1a8f7c2
extension_retrieval_methods/HISTORICAL_POOLING_HYPOTHESIS.md,9594,c28646bc29172989364de4eb76274f940beaf001053cabff546d977e89ac29bc
extension_retrieval_methods/METHOD_AUDIT.md,10324,d59119ba1b9a5881640117fb5c685851f77e0db1de98cef12417735d4ba6bccf
extension_retrieval_methods/METHOD_PLAN.md,6002,5f365117e1275c1c581adf239f1b919f92d448ed17b2111a2a49e6c8e3d123f6
extension_retrieval_methods/README.md,4655,27366bcdf3bd3d9d27ef2e72c294d5b44b1aea79f59d3463bae5a5136374dbf9
extension_retrieval_methods/RESOURCE_PLAN.md,6869,3ea701938ef90f69fe84c18ff6f6fe9781bb8bef6b24cc8d506eccd12dc5233d
extension_retrieval_methods/RETRIEVAL_METHOD_EXTENSION_REPORT.md,19635,0a4fff07dda7906174e5d2645c41c8f6df94da53ced9d71042edee6324b2cdc8
extension_retrieval_methods/STAGE2_ANNOTATION_DESIGN.md,8806,af46a4c73907c42b272a05d40eceeadb588b06ba707fca9058ea7c9bb8ee86cf
extension_retrieval_methods/cache/bge_doc_emb.meta.json,300,c1b1a87a5c7ac6a31ed672aa113920918d4efd2293f0da7775ffa14e76d4db53
extension_retrieval_methods/cache/runs/bge.meta.json,208,8a58b2f1f18eed331d649ff81a24e11ed7d7862796ade876cab0d06fff05cb67
extension_retrieval_methods/cache/runs/bge.npz,290601,e0d40254013340655ae7f7e8ec0eaaa60ca5bc5f4209e68b3e64cc5f641fc21e
extension_retrieval_methods/cache/runs/bm25_ce.meta.json,289,67de2c36029946442f660d4e88008692c372d7ac563448f60c9e9828cf156a42
extension_retrieval_methods/cache/runs/bm25_ce.npz,332252,ef7399aa8a140a8f8fcd143a3247bead5b505a75562726307c87f61e8556dbff
extension_retrieval_methods/cache/runs/direct_mmr.meta.json,144,41d4723c61b880cd547dcf696da4e50b0e18cc5f91f2c2852ba0f12179d0c099
extension_retrieval_methods/cache/runs/direct_mmr.npz,337952,6d509d669e7f4e5a44c40bb58f30d339fd9248c6ee753fd8047181c1640610d0
