query_id,doc_id,bm25_rank,mpnet_rank,direct_rank,methods,n_methods,judgment_status,has_title,has_abstract
1,069bzntu,,10,,mpnet,1,unjudged_absent_qrel,1,0
1,3k3esr69,,14,,mpnet,1,unjudged_absent_qrel,1,0
1,45rzpa6j,,15,,mpnet,1,unjudged_absent_qrel,1,0
1,4977dzxz,12,,3,bm25;direct,2,unjudged_absent_qrel,1,0
1,7zviroif,16,,,bm25,1,unjudged_absent_qrel,1,0
1,8kooi5ze,,17,,mpnet,1,unjudged_absent_qrel,1,0
1,bol7brtc,,20,,mpnet,1,unjudged_absent_qrel,1,0
1,bupu8ld3,,13,,mpnet,1,unjudged_absent_qrel,1,0
1,c6vhbqbp,,3,,mpnet,1,unjudged_absent_qrel,1,0
1,eeyychfk,,12,,mpnet,1,unjudged_absent_qrel,1,0
1,fzf5v9qy,,5,,mpnet,1,unjudged_absent_qrel,1,0
1,gdfxiosc,,8,,mpnet,1,unjudged_absent_qrel,1,0
1,hyvwk3h9,,11,,mpnet,1,unjudged_absent_qrel,1,0
1,k0f2pzie,,18,,mpnet,1,unjudged_absent_qrel,1,0
1,kvb7moqt,10,,4,bm25;direct,2,unjudged_absent_qrel,1,0
1,n15i01tn,,,16,direct,1,unjudged_absent_qrel,1,1
1,ob3omsjj,,9,,mpnet,1,unjudged_absent_qrel,1,0
1,rzpbpxw2,,16,,mpnet,1,unjudged_absent_qrel,1,0
1,vc78113o,,6,,mpnet,1,unjudged_absent_qrel,1,0
1,w86qc3fq,,4,,mpnet,1,unjudged_absent_qrel,1,0
1,xj3v8vcj,,7,,mpnet,1,unjudged_absent_qrel,1,0
1,zj4cy1m7,,19,,mpnet,1,unjudged_absent_qrel,1,0
2,05istt8s,,20,,mpnet,1,unjudged_absent_qrel,1,0
2,21iuob1x,,10,,mpnet,1,unjudged_absent_qrel,1,0
2,2tfu7g75,,9,,mpnet,1,unjudged_absent_qrel,1,0
2,5s3en8g5,10,,7,bm25;direct,2,unjudged_absent_qrel,1,0
2,8xwirqgg,,5,,mpnet,1,unjudged_absent_qrel,1,0
2,97odkwtx,,18,,mpnet,1,unjudged_absent_qrel,1,0
2,ar0om0n6,,12,,mpnet,1,unjudged_absent_qrel,1,0
2,bp9xz9wk,,13,,mpnet,1,unjudged_absent_qrel,1,0
2,cjfd3fwa,,3,,mpnet,1,unjudged_absent_qrel,1,0
2,cpp5zzgx,,17,,mpnet,1,unjudged_absent_qrel,1,0
2,e0bp8cuj,,11,,mpnet,1,unjudged_absent_qrel,1,0
2,hnbnr731,,2,,mpnet,1,unjudged_absent_qrel,1,0
2,ii0t5blp,,15,,mpnet,1,unjudged_absent_qrel,1,0
2,k2ln29xu,,19,,mpnet,1,unjudged_absent_qrel,1,0
2,lx4rb7vz,,4,,mpnet,1,unjudged_absent_qrel,1,0
2,mjx5awo0,,14,,mpnet,1,unjudged_absent_qrel,1,0
2,p6md24r8,,16,,mpnet,1,unjudged_absent_qrel,1,0
2,swuf5k2u,,7,,mpnet,1,unjudged_absent_qrel,1,0
2,xs2xy0av,,6,,mpnet,1,unjudged_absent_qrel,1,1
3,2c0l43hg,,10,,mpnet,1,unjudged_absent_qrel,1,0
3,2u8rxzgb,,12,,mpnet,1,unjudged_absent_qrel,1,0
3,3n0widf9,,19,,mpnet,1,unjudged_absent_qrel,1,0
3,cp3vl2xs,,20,,mpnet,1,unjudged_absent_qrel,1,0
3,h99d0xo1,,8,,mpnet,1,unjudged_absent_qrel,1,0
3,ismwpj1r,,3,,mpnet,1,unjudged_absent_qrel,1,0
3,nfvbog77,10,,17,bm25;direct,2,unjudged_absent_qrel,1,1
3,njb4eyyu,,4,,mpnet,1,unjudged_absent_qrel,1,0
3,nvbyzif9,,15,,mpnet,1,unjudged_absent_qrel,1,0
3,qkask7md,,17,,mpnet,1,unjudged_absent_qrel,1,0
3,urd5uot1,,18,,mpnet,1,unjudged_absent_qrel,1,0
3,uywnhces,,9,,mpnet,1,unjudged_absent_qrel,1,0
3,v1k5pcvv,,11,,mpnet,1,unjudged_absent_qrel,1,0
3,vqnkdskx,,1,,mpnet,1,unjudged_absent_qrel,1,0
3,wd7xo3b5,,7,,mpnet,1,unjudged_absent_qrel,1,0
3,whet1mn6,,2,,mpnet,1,unjudged_absent_qrel,1,0
3,ww4p4ddf,18,,,bm25,1,unjudged_absent_qrel,1,1
4,2j8h7was,,4,,mpnet,1,unjudged_absent_qrel,1,0
4,3o90pzw7,,14,,mpnet,1,unjudged_absent_qrel,1,0
4,5ss9u7e1,,18,,mpnet,1,unjudged_absent_qrel,1,0
4,91kbs20i,,,17,direct,1,unjudged_absent_qrel,1,0
4,aczhotun,,19,,mpnet,1,unjudged_absent_qrel,1,0
4,ain6iok3,,8,,mpnet,1,unjudged_absent_qrel,1,1
4,bs0yainl,,17,6,mpnet;direct,2,unjudged_absent_qrel,1,0
4,fvdjlff3,,,9,direct,1,unjudged_absent_qrel,1,0
4,ga0dzj3v,,13,,mpnet,1,unjudged_absent_qrel,1,0
4,j1l1hyks,,10,,mpnet,1,unjudged_absent_qrel,1,0
4,kvsuelw4,,20,,mpnet,1,unjudged_absent_qrel,1,0
4,zxjlzyxq,,16,,mpnet,1,unjudged_absent_qrel,1,0
5,2eezwumi,,17,,mpnet,1,unjudged_absent_qrel,1,1
5,2hsvp2ni,,,20,direct,1,unjudged_absent_qrel,1,1
5,37oidlkd,,5,,mpnet,1,unjudged_absent_qrel,1,1
5,3kwo7q9e,,9,,mpnet,1,unjudged_absent_qrel,1,1
5,6qvdrrmj,,1,,mpnet,1,unjudged_absent_qrel,1,0
5,78zch9yh,8,,15,bm25;direct,2,unjudged_absent_qrel,1,1
5,7ln7p715,,18,,mpnet,1,unjudged_absent_qrel,1,1
5,7tjhmbov,,6,,mpnet,1,unjudged_absent_qrel,1,0
5,9aoszre9,,20,,mpnet,1,unjudged_absent_qrel,1,0
5,cvavb7j1,19,,,bm25,1,unjudged_absent_qrel,1,1
5,de45x8q4,,19,,mpnet,1,unjudged_absent_qrel,1,1
5,ip092sys,,,18,direct,1,unjudged_absent_qrel,1,1
5,jbbpu5yo,,8,,mpnet,1,unjudged_absent_qrel,1,0
5,kd35rzn5,,7,,mpnet,1,unjudged_absent_qrel,1,0
5,muvdjras,,15,,mpnet,1,unjudged_absent_qrel,1,1
5,rmm7fdhg,,3,,mpnet,1,unjudged_absent_qrel,1,1
5,ydywrk62,,,12,direct,1,unjudged_absent_qrel,1,1
6,42e2ze7l,,15,,mpnet,1,unjudged_absent_qrel,1,0
6,4yuhtvim,,2,,mpnet,1,unjudged_absent_qrel,1,0
6,52sbckm3,11,,,bm25,1,unjudged_absent_qrel,1,1
6,6mewd1gl,,3,,mpnet,1,unjudged_absent_qrel,1,0
6,bzz9foxx,,1,,mpnet,1,unjudged_absent_qrel,1,0
6,dq3kze1s,,11,,mpnet,1,unjudged_absent_qrel,1,0
6,fzklf4sm,,16,,mpnet,1,unjudged_absent_qrel,1,0
6,neg74rkc,,6,,mpnet,1,unjudged_absent_qrel,1,1
6,og20u5n4,,5,,mpnet,1,unjudged_absent_qrel,1,0
6,uadapg73,,10,,mpnet,1,unjudged_absent_qrel,1,0
7,2j7dcw3x,,20,,mpnet,1,unjudged_absent_qrel,1,0
